detected_at,type,id,name,field,old,new
2026-07-03 16:35:10,CHANGED,1643516,Morez Johnson,name,Morez Johnson Jr.,Morez Johnson
2026-07-03 21:16:54,CHANGED,1643024,Chris Manon,name,Chris Mañon,Chris Manon
2026-07-03 21:29:54,ADDED,1643637,Jaylin Sellers,team,,CHI
2026-07-03 21:29:54,CHANGED,1643024,Chris Mañon,name,Chris Manon,Chris Mañon
2026-07-04 09:31:54,ADDED,1643758,AK Okereke,team,,LAL
2026-07-04 09:31:54,ADDED,1643614,Peter Suder,team,,LAL
2026-07-04 14:31:54,CHANGED,1630311,Pat Spencer,team,GSW,PHX
2026-07-05 11:53:54,CHANGED,1643416,Christopher Cenac Jr.,name,Chris Cenac Jr.,Christopher Cenac Jr.
2026-07-05 12:33:54,CHANGED,1643416,Chris Cenac Jr.,name,Christopher Cenac Jr.,Chris Cenac Jr.
2026-07-05 12:34:54,CHANGED,1643416,Christopher Cenac Jr.,name,Chris Cenac Jr.,Christopher Cenac Jr.
2026-07-05 12:35:54,CHANGED,1643416,Chris Cenac Jr.,name,Christopher Cenac Jr.,Chris Cenac Jr.
2026-07-05 14:34:54,CHANGED,1631126,Caleb Love,team,POR,PHI
2026-07-05 14:35:54,CHANGED,1631126,Caleb Love,team,PHI,POR
2026-07-05 14:36:54,CHANGED,1631126,Caleb Love,team,POR,PHI
2026-07-06 08:34:54,ADDED,1642880,Kam Jones,team,,MIL
2026-07-06 08:34:54,REMOVED,1642366,Quinten Post,team,GSW,
2026-07-06 09:12:54,CHANGED,1643758,AK Okereke,school,-,Vanderbilt
2026-07-06 09:12:54,CHANGED,1643758,AK Okereke,country,,USA
2026-07-06 09:12:54,CHANGED,1643614,Peter Suder,school,Miami (OH),"Miami, Ohio"
2026-07-06 09:12:54,CHANGED,1643614,Peter Suder,country,,USA
2026-07-06 09:35:54,REMOVED,1630534,Ochai Agbaji,team,BKN,
2026-07-06 09:35:54,REMOVED,1630549,Day'Ron Sharpe,team,BKN,
2026-07-06 09:35:54,REMOVED,1631169,Josh Minott,team,BKN,
2026-07-06 09:35:54,CHANGED,1643588,Tobi Lawal,number,,33
2026-07-06 09:35:54,CHANGED,1643758,AK Okereke,position,,F
2026-07-06 09:35:54,CHANGED,1643758,AK Okereke,height,,6-7
2026-07-06 09:35:54,CHANGED,1643758,AK Okereke,weight,,244
2026-07-06 09:35:54,CHANGED,1642967,John Poulakidas,number,,1
2026-07-06 09:35:54,CHANGED,1643614,Peter Suder,position,,G
2026-07-06 09:35:54,CHANGED,1643614,Peter Suder,height,,6-5
2026-07-06 09:35:54,CHANGED,1643614,Peter Suder,weight,,215
2026-07-06 09:35:54,CHANGED,1643614,Peter Suder,school,"Miami, Ohio",Miami (Ohio)
2026-07-06 10:16:54,CHANGED,1643417,Nathaniel Ament,name,Nate Ament,Nathaniel Ament
2026-07-06 10:16:54,CHANGED,1642857,Kasparas Jakucionis,name,Kasparas Jakučionis,Kasparas Jakucionis
2026-07-06 10:16:54,CHANGED,1642857,Kasparas Jakucionis,school,Illinois-Urbana-Champaign,University of Illinois at Urbana?Ch
2026-07-06 10:35:54,ADDED,1630549,Day'Ron Sharpe,team,,BKN
2026-07-06 10:35:54,ADDED,1631169,Josh Minott,team,,BKN
2026-07-06 10:35:54,CHANGED,1629731,Dean Wade,team,CLE,PHI
2026-07-06 10:35:54,CHANGED,1630598,Aaron Wiggins,team,OKC,ATL
2026-07-06 10:35:54,CHANGED,203507,Giannis Antetokounmpo,team,MIL,MIA
2026-07-06 10:35:54,CHANGED,1642276,Kel'el Ware,team,MIA,MIL
2026-07-06 10:35:54,CHANGED,1629639,Tyler Herro,team,MIA,MIL
2026-07-06 10:35:54,CHANGED,1626171,Bobby Portis,team,MIL,MIA
2026-07-06 10:35:54,CHANGED,1643417,Nate Ament,name,Nathaniel Ament,Nate Ament
2026-07-06 10:35:54,CHANGED,1643417,Nate Ament,team,MIA,MIL
2026-07-06 10:35:54,CHANGED,1631170,Jaime Jaquez Jr.,team,MIA,MIL
2026-07-06 10:35:54,CHANGED,1642857,Kasparas Jakučionis,name,Kasparas Jakucionis,Kasparas Jakučionis
2026-07-06 10:35:54,CHANGED,1642857,Kasparas Jakučionis,team,MIA,MIL
2026-07-06 10:35:54,CHANGED,1642857,Kasparas Jakučionis,school,University of Illinois at Urbana?Ch,Illinois-Urbana-Champaign
2026-07-06 11:35:54,CHANGED,202331,Paul George,team,PHI,BOS
2026-07-06 11:35:54,CHANGED,1629014,Anfernee Simons,team,CHI,PHI
2026-07-06 11:35:54,CHANGED,1627759,Jaylen Brown,team,BOS,PHI
2026-07-06 12:19:54,CHANGED,1642889,Labaron Philon Jr.,name,Labaron Philon,Labaron Philon Jr.
2026-07-06 12:19:54,CHANGED,1641780,Johni Broome,school,Auburn,Philadelphia 76ers
2026-07-06 12:33:54,CHANGED,1641780,Johni Broome,school,Philadelphia 76ers,Auburn
2026-07-06 12:33:54,CHANGED,1642889,Labaron Philon,name,Labaron Philon Jr.,Labaron Philon
2026-07-06 13:38:54,CHANGED,1630198,Isaiah Joe,team,OKC,DET
2026-07-06 13:46:54,CHANGED,1643614,Peter Suder,school,Miami (Ohio),"Miami, Ohio"
2026-07-06 14:30:55,CHANGED,201942,DeMar DeRozan,school,Southern California,USC
2026-07-06 14:35:54,REMOVED,201942,DeMar DeRozan,team,SAC,
2026-07-06 14:35:54,REMOVED,1641787,Tosan Evbuomwan,team,CHA,
2026-07-06 14:35:54,CHANGED,1643614,Peter Suder,number,,35
2026-07-06 14:35:54,CHANGED,1643614,Peter Suder,school,"Miami, Ohio",Miami (Ohio)
2026-07-06 14:35:54,CHANGED,1643758,AK Okereke,number,,31
2026-07-06 14:35:54,CHANGED,1643548,Tyler Bilodeau,number,,34
2026-07-06 15:36:54,ADDED,1642369,Michael Ajayi,team,,CHA
2026-07-06 15:36:54,ADDED,1643573,Kylan Boswell,team,,CHA
2026-07-06 15:36:54,CHANGED,203083,Andre Drummond,team,PHI,NYK
2026-07-06 15:36:54,CHANGED,203937,Kyle Anderson,team,MIN,TOR
2026-07-06 15:36:54,CHANGED,1631165,Keon Ellis,team,CLE,BKN
2026-07-06 16:38:54,CHANGED,202699,Tobias Harris,team,DET,SAS
2026-07-06 16:38:54,CHANGED,1627827,Dorian Finney-Smith,team,HOU,CHA
2026-07-06 17:33:56,CHANGED,203501,Tim Hardaway Jr.,team,DEN,MIA
2026-07-06 17:33:56,CHANGED,1630574,Ariel Hukporti,team,NYK,PHI
2026-07-06 17:35:54,CHANGED,203501,Tim Hardaway Jr.,team,MIA,DEN
2026-07-06 17:35:54,CHANGED,1630574,Ariel Hukporti,team,PHI,NYK
2026-07-06 17:36:54,CHANGED,203501,Tim Hardaway Jr.,team,DEN,MIA
2026-07-06 17:36:54,CHANGED,1630574,Ariel Hukporti,team,NYK,PHI
2026-07-06 18:42:54,CHANGED,1629011,Mitchell Robinson,team,NYK,BOS
2026-07-06 18:42:54,CHANGED,201144,Mike Conley,team,MIN,BOS
2026-07-07 08:04:01,CHANGED,1629060,Rui Hachimura,team,LAL,LAC
2026-07-07 08:29:55,CHANGED,1643621,Tre Donaldson,country,,USA
2026-07-07 08:33:54,CHANGED,1643621,Tre Donaldson,number,,24
2026-07-07 08:33:54,CHANGED,1643621,Tre Donaldson,position,,G
2026-07-07 08:33:54,CHANGED,1643621,Tre Donaldson,height,,6-3
2026-07-07 08:33:54,CHANGED,1643621,Tre Donaldson,weight,,195
2026-07-07 08:33:54,CHANGED,203507,Giannis Antetokounmpo,number,34,7
2026-07-07 08:33:54,CHANGED,1643553,Ryan Conwell,number,,4
2026-07-07 08:57:54,CHANGED,1629026,Kenrich Williams,school,TCU,Texas Christian
2026-07-07 09:33:54,CHANGED,1629026,Kenrich Williams,school,Texas Christian,TCU
2026-07-07 09:34:54,CHANGED,1629026,Kenrich Williams,school,TCU,Texas Christian
2026-07-07 09:35:54,CHANGED,1629026,Kenrich Williams,school,Texas Christian,TCU
2026-07-07 11:08:54,CHANGED,1642917,Max Shulga,school,Virginia Commonwealth,VCU
2026-07-07 11:08:54,CHANGED,1642865,Yaxel Lendeborg,school,Alabama-Birmingham,Michigan
2026-07-07 11:08:54,CHANGED,1642950,Lachlan Olbrich,school,Illawarra,UC Riverside
2026-07-07 11:19:54,CHANGED,1641807,Norchad Omier,school,Miami,Baylor
